Discovered hosts
CPU使用情况
主机,CPU负载,最大值,最小值,平均值
192.168.3.10.novalocal,0.12%,4.35%,0.12%,0.32%
192.168.3.100.novalocal,0.55%,2.32%,0.45%,0.95%
192.168.3.101.novalocal,0.55%,2.10%,0.32%,0.60%
192.168.3.102.novalocal,0.32%,1.55%,0.30%,0.49%
192.168.3.103.novalocal,0.12%,1.12%,0.12%,0.29%
192.168.3.104.novalocal,0.18%,1.55%,0.12%,0.28%
192.168.3.105.novalocal,0.75%,1.18%,0.22%,0.49%
192.168.3.106.novalocal,1.27%,2.45%,0.78%,1.23%
192.168.3.107.novalocal,0.12%,0.18%,0.12%,0.12%
192.168.3.108.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.109.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.11.novalocal,0.12%,4.28%,0.12%,0.35%
192.168.3.110.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.111.novalocal,0.22%,0.70%,0.12%,0.26%
192.168.3.112.novalocal,0.15%,0.25%,0.12%,0.13%
192.168.3.113.novalocal,0.12%,0.18%,0.12%,0.12%
192.168.3.114.novalocal,7.38%,8.42%,0.12%,2.53%
192.168.3.115.novalocal,0.12%,8.18%,0.12%,2.46%
192.168.3.116.novalocal,0.15%,0.18%,0.12%,0.12%
192.168.3.117.novalocal,0.12%,0.42%,0.12%,0.12%
192.168.3.118.novalocal,0.12%,0.40%,0.12%,0.12%
192.168.3.119.novalocal,3.88%,6.90%,0.25%,2.17%
192.168.3.12.novalocal,0.15%,7.05%,0.12%,1.41%
192.168.3.120.novalocal,0.12%,0.42%,0.12%,0.12%
192.168.3.121.novalocal,0.12%,0.40%,0.12%,0.15%
192.168.3.122.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.123.novalocal,0.12%,0.40%,0.12%,0.13%
192.168.3.124.novalocal,0.12%,0.70%,0.12%,0.13%
192.168.3.125.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.126.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.127.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.128.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.129.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.13.novalocal,2.32%,6.68%,0.12%,1.22%
192.168.3.14.novalocal,2.08%,6.42%,0.12%,1.11%
192.168.3.15.novalocal,2.45%,6.52%,0.12%,1.25%
192.168.3.16.novalocal,2.50%,5.68%,0.12%,1.14%
192.168.3.17.novalocal,2.30%,6.42%,0.12%,1.19%
192.168.3.18.novalocal,0.28%,5.38%,0.12%,0.97%
192.168.3.19.novalocal,0.12%,4.45%,0.12%,0.54%
192.168.3.20.novalocal,0.12%,0.30%,0.12%,0.13%
192.168.3.21.novalocal,0.12%,0.30%,0.12%,0.12%
192.168.3.22.novalocal,0.12%,0.18%,0.12%,0.12%
192.168.3.23.novalocal,0.12%,0.22%,0.12%,0.12%
192.168.3.24.novalocal,0.12%,0.18%,0.12%,0.12%
192.168.3.25.novalocal,0.12%,0.18%,0.12%,0.12%
192.168.3.26.novalocal,1.02%,1.52%,0.80%,1.10%
192.168.3.27.novalocal,1.02%,1.58%,0.70%,1.09%
192.168.3.28.novalocal,0.12%,0.18%,0.12%,0.12%
192.168.3.29.novalocal,1.07%,1.50%,0.75%,1.09%
192.168.3.30.novalocal,0.92%,1.45%,0.75%,1.08%
192.168.3.31.novalocal,1.10%,1.42%,0.75%,1.09%
192.168.3.32.novalocal,0.20%,0.70%,0.12%,0.25%
192.168.3.33.novalocal,0.12%,0.30%,0.12%,0.13%
192.168.3.34.novalocal,0.15%,0.40%,0.12%,0.13%
192.168.3.35.novalocal,0.65%,1.73%,0.32%,0.83%
192.168.3.36.novalocal,0.12%,4.50%,0.12%,0.17%
192.168.3.37.novalocal,0.12%,3.68%,0.12%,0.19%
192.168.3.38.novalocal,2.45%,2.65%,0.12%,0.15%
192.168.3.39.novalocal,0.12%,0.22%,0.12%,0.12%
192.168.3.40.novalocal,0.12%,0.28%,0.12%,0.12%
192.168.3.41.novalocal,0.12%,0.32%,0.12%,0.12%
192.168.3.42.novalocal,0.12%,0.58%,0.12%,0.17%
192.168.3.43.novalocal,0.12%,0.78%,0.12%,0.15%
192.168.3.44.novalocal,0.12%,0.25%,0.12%,0.12%
192.168.3.45.novalocal,0.90%,3.62%,0.42%,1.73%
192.168.3.46.novalocal,1.15%,3.68%,0.30%,1.55%
192.168.3.47.novalocal,0.92%,3.12%,0.12%,1.22%
192.168.3.48.novalocal,1.45%,4.50%,1.18%,2.50%
192.168.3.49.novalocal,0.12%,4.52%,0.12%,0.20%
192.168.3.50.novalocal,0.12%,0.28%,0.12%,0.12%
192.168.3.51.novalocal,0.12%,0.25%,0.12%,0.12%
192.168.3.52.novalocal,0.12%,0.35%,0.12%,0.12%
192.168.3.53.novalocal,0.12%,0.28%,0.12%,0.12%
192.168.3.54.novalocal,0.12%,0.25%,0.12%,0.12%
192.168.3.55.novalocal,0.12%,0.45%,0.12%,0.12%
192.168.3.56.novalocal,0.12%,0.18%,0.12%,0.12%
192.168.3.57.novalocal,0.12%,0.32%,0.12%,0.12%
192.168.3.58.novalocal,0.12%,0.18%,0.12%,0.12%
192.168.3.59.novalocal,0.12%,0.18%,0.12%,0.12%
192.168.3.60.novalocal,0.12%,0.20%,0.12%,0.12%
192.168.3.61.novalocal,0.12%,0.18%,0.12%,0.12%
192.168.3.62.novalocal,0.12%,0.42%,0.12%,0.12%
192.168.3.63.novalocal,0.15%,1.27%,0.12%,0.18%
192.168.3.64.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.65.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.66.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.67.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.68.novalocal,0.12%,0.20%,0.12%,0.12%
192.168.3.69.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.70.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.71.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.72.novalocal,0.12%,0.25%,0.12%,0.12%
192.168.3.73.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.74.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.75.novalocal,0.12%,0.20%,0.12%,0.12%
192.168.3.76.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.77.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.78.novalocal,0.78%,3.35%,0.12%,0.60%
192.168.3.79.novalocal,0.32%,0.78%,0.12%,0.33%
192.168.3.80.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.81.novalocal,0.12%,0.20%,0.12%,0.12%
192.168.3.82.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.83.novalocal,1.58%,1184.83%,0.72%,19.04%
192.168.3.84.novalocal,6.75%,34.58%,0.12%,3.67%
192.168.3.85.novalocal,0.12%,62.55%,0.12%,1.42%
192.168.3.86.novalocal,0.12%,1.22%,0.12%,0.18%
192.168.3.87.novalocal,0.12%,118.55%,0.12%,34.08%
192.168.3.88.novalocal,0.35%,0.55%,0.12%,0.19%
192.168.3.89.novalocal,1.65%,2.53%,0.78%,1.31%
192.168.3.90.novalocal,0.55%,1.32%,0.20%,0.60%
192.168.3.91.novalocal,0.52%,1.40%,0.22%,0.58%
192.168.3.92.novalocal,0.12%,0.32%,0.12%,0.12%
192.168.3.93.novalocal,0.12%,1.02%,0.12%,0.14%
192.168.3.94.novalocal,0.28%,0.60%,0.12%,0.15%
192.168.3.95.novalocal,0.15%,0.40%,0.12%,0.16%
192.168.3.96.novalocal,0.12%,0.35%,0.12%,0.16%
192.168.3.97.novalocal,0.12%,0.18%,0.12%,0.12%
192.168.3.98.novalocal,0.12%,0.15%,0.12%,0.12%
192.168.3.99.novalocal,1.00%,2.38%,0.48%,1.15%
 
内存使用情况
主机,总内存(G),内存使用(G),内存使用率,内存最大使用(G),内存最大使用率,内存最小使用(G),内存最小使用率,内存平均使用(G),内存平均使用率
192.168.3.10.novalocal,251.62,52.890000000000015,21.02%,52.94,21.04%,47.71000000000001,18.96%,51.16,20.33%
192.168.3.100.novalocal,503.0,34.70999999999998,6.90%,39.420000000000016,7.84%,29.829999999999984,5.93%,33.81,6.72%
192.168.3.101.novalocal,503.0,25.74000000000001,5.12%,26.110000000000014,5.19%,25.480000000000018,5.07%,25.77,5.12%
192.168.3.102.novalocal,503.0,25.45999999999998,5.06%,25.569999999999993,5.08%,25.110000000000014,4.99%,25.32,5.03%
192.168.3.103.novalocal,503.0,17.389999999999986,3.46%,24.189999999999998,4.81%,17.319999999999993,3.44%,22.04,4.38%
192.168.3.104.novalocal,503.0,25.649999999999977,5.10%,25.860000000000014,5.14%,16.589999999999975,3.30%,23.38,4.65%
192.168.3.105.novalocal,503.0,8.949999999999989,1.78%,9.069999999999993,1.80%,8.689999999999998,1.73%,8.85,1.76%
192.168.3.106.novalocal,503.0,19.670000000000016,3.91%,19.870000000000005,3.95%,19.420000000000016,3.86%,19.59,3.89%
192.168.3.107.novalocal,503.0,15.160000000000025,3.01%,15.310000000000002,3.04%,14.5,2.88%,15.01,2.98%
192.168.3.108.novalocal,503.0,14.029999999999973,2.79%,14.329999999999984,2.85%,13.509999999999991,2.69%,13.95,2.77%
192.168.3.109.novalocal,503.0,4.649999999999977,0.92%,4.660000000000025,0.93%,4.649999999999977,0.92%,4.65,0.92%
192.168.3.11.novalocal,251.62,49.870000000000005,19.82%,49.94,19.85%,44.95000000000002,17.86%,48.31,19.20%
192.168.3.110.novalocal,503.0,6.079999999999984,1.21%,6.279999999999973,1.25%,4.730000000000018,0.94%,6.2,1.23%
192.168.3.111.novalocal,503.0,6.1200000000000045,1.22%,6.240000000000009,1.24%,6.069999999999993,1.21%,6.11,1.21%
192.168.3.112.novalocal,503.0,8.829999999999984,1.76%,9.54000000000002,1.90%,7.660000000000025,1.52%,8.69,1.73%
192.168.3.113.novalocal,503.0,8.759999999999991,1.74%,9.5,1.89%,7.519999999999982,1.50%,8.63,1.72%
192.168.3.114.novalocal,503.0,6.699999999999989,1.33%,6.720000000000027,1.34%,6.660000000000025,1.32%,6.7,1.33%
192.168.3.115.novalocal,503.0,6.610000000000014,1.31%,6.6299999999999955,1.32%,6.600000000000023,1.31%,6.61,1.31%
192.168.3.116.novalocal,503.0,12.95999999999998,2.58%,13.009999999999991,2.59%,12.720000000000027,2.53%,12.9,2.56%
192.168.3.117.novalocal,503.0,8.319999999999993,1.65%,8.329999999999984,1.66%,8.25,1.64%,8.3,1.65%
192.168.3.118.novalocal,503.0,7.850000000000023,1.56%,7.8700000000000045,1.56%,7.839999999999975,1.56%,7.85,1.56%
192.168.3.119.novalocal,503.0,24.899999999999977,4.95%,34.170000000000016,6.79%,18.360000000000014,3.65%,26.15,5.20%
192.168.3.12.novalocal,251.62,90.50999999999999,35.97%,91.87,36.51%,85.34,33.92%,89.57,35.60%
192.168.3.120.novalocal,503.0,5.5400000000000205,1.10%,5.680000000000007,1.13%,5.029999999999973,1.00%,5.63,1.12%
192.168.3.121.novalocal,503.0,14.910000000000025,2.96%,14.949999999999989,2.97%,12.350000000000023,2.46%,14.72,2.93%
192.168.3.122.novalocal,503.0,4.769999999999982,0.95%,4.769999999999982,0.95%,4.759999999999991,0.95%,4.76,0.95%
192.168.3.123.novalocal,503.0,6.310000000000002,1.25%,6.329999999999984,1.26%,5.819999999999993,1.16%,6.24,1.24%
192.168.3.124.novalocal,503.0,6.259999999999991,1.24%,6.269999999999982,1.25%,5.800000000000011,1.15%,6.21,1.23%
192.168.3.125.novalocal,503.0,5.3700000000000045,1.07%,5.389999999999986,1.07%,5.360000000000014,1.07%,5.38,1.07%
192.168.3.126.novalocal,503.0,4.649999999999977,0.92%,4.660000000000025,0.93%,4.649999999999977,0.92%,4.65,0.92%
192.168.3.127.novalocal,503.0,4.649999999999977,0.92%,4.660000000000025,0.93%,4.649999999999977,0.92%,4.66,0.93%
192.168.3.128.novalocal,503.0,4.649999999999977,0.92%,4.660000000000025,0.93%,4.649999999999977,0.92%,4.65,0.92%
192.168.3.129.novalocal,503.0,4.509999999999991,0.90%,4.759999999999991,0.95%,4.5,0.89%,4.51,0.90%
192.168.3.13.novalocal,251.62,66.06,26.25%,71.03,28.23%,65.95000000000002,26.21%,69.4,27.58%
192.168.3.14.novalocal,251.62,128.87,51.22%,134.29000000000002,53.37%,128.81,51.19%,132.36,52.60%
